Stationsnummer: 2099
Stationsname: Zürich, Unterhard
DBLH-Nr: 00343
Gewässer: Limmat
Exportperiode: 2019-01-01 - 2022-11-13
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Stundenmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-01 00:00:00;;93.890;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-01 01:00:00;;93.538;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-01 02:00:00;;93.481;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-01 03:00:00;;93.424;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-01 04:00:00;;93.367;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-01 05:00:00;;93.310;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-01 06:00:00;;93.252;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-01 07:00:00;;92.793;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-01 08:00:00;;93.050;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-01 09:00:00;;93.150;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-01 10:00:00;;93.157;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-01 11:00:00;;93.390;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-01 12:00:00;;93.269;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-01 13:00:00;;92.308;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-01 14:00:00;;91.424;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-01 15:00:00;;90.507;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-01 16:00:00;;89.829;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-01 17:00:00;;88.832;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-01 18:00:00;;87.937;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-01 19:00:00;;86.608;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-01 20:00:00;;85.682;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-01 21:00:00;;85.005;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-01 22:00:00;;84.197;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-01 23:00:00;;83.609;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-02 00:00:00;;83.517;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-02 01:00:00;;83.405;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-02 02:00:00;;83.294;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-02 03:00:00;;83.183;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-02 04:00:00;;83.071;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-02 05:00:00;;83.075;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-02 06:00:00;;82.996;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-02 07:00:00;;82.577;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-02 08:00:00;;81.823;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-02 09:00:00;;81.542;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-02 10:00:00;;79.707;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-02 11:00:00;;78.017;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-02 12:00:00;;77.723;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-02 13:00:00;;76.727;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-02 14:00:00;;75.859;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-02 15:00:00;;75.072;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-02 16:00:00;;74.174;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-02 17:00:00;;73.541;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-02 18:00:00;;73.587;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-02 19:00:00;;73.932;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-02 20:00:00;;73.849;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-02 21:00:00;;73.662;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-02 22:00:00;;73.565;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-02 23:00:00;;73.565;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-03 00:00:00;;73.567;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-03 01:00:00;;73.571;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-03 02:00:00;;73.576;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-03 03:00:00;;73.581;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-03 04:00:00;;73.586;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-03 05:00:00;;73.590;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-03 06:00:00;;73.595;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-03 07:00:00;;73.600;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-03 08:00:00;;73.604;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-03 09:00:00;;73.609;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-03 10:00:00;;73.614;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-03 11:00:00;;73.618;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-03 12:00:00;;73.623;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-03 13:00:00;;73.628;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-03 14:00:00;;73.633;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-03 15:00:00;;73.637;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-03 16:00:00;;73.642;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-03 17:00:00;;73.647;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-03 18:00:00;;73.651;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-03 19:00:00;;73.656;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-03 20:00:00;;73.661;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-03 21:00:00;;73.666;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-03 22:00:00;;73.659;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-03 23:00:00;;73.753;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-04 00:00:00;;73.561;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-04 01:00:00;;73.549;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-04 02:00:00;;73.540;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-04 03:00:00;;73.532;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-04 04:00:00;;73.523;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-04 05:00:00;;73.515;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-04 06:00:00;;73.507;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-04 07:00:00;;73.498;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-04 08:00:00;;73.490;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-04 09:00:00;;73.481;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-04 10:00:00;;73.473;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-04 11:00:00;;73.464;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-04 12:00:00;;73.456;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-04 13:00:00;;73.448;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-04 14:00:00;;73.439;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-04 15:00:00;;73.431;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-04 16:00:00;;73.422;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-04 17:00:00;;73.414;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-04 18:00:00;;73.405;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-04 19:00:00;;73.397;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-04 20:00:00;;73.389;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-04 21:00:00;;73.380;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-04 22:00:00;;73.372;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-04 23:00:00;;73.363;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-05 00:00:00;;73.351;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-05 01:00:00;;73.332;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-05 02:00:00;;73.314;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-05 03:00:00;;73.295;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-05 04:00:00;;73.277;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-05 05:00:00;;73.225;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-05 06:00:00;;73.026;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-05 07:00:00;;73.107;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-05 08:00:00;;73.051;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-05 09:00:00;;73.090;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-05 10:00:00;;72.950;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-05 11:00:00;;73.038;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-05 12:00:00;;73.132;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-05 13:00:00;;73.124;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-05 14:00:00;;73.337;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-05 15:00:00;;73.344;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-05 16:00:00;;73.334;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-05 17:00:00;;73.324;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-05 18:00:00;;73.313;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-05 19:00:00;;73.303;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-05 20:00:00;;73.292;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-05 21:00:00;;73.282;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-05 22:00:00;;73.272;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-05 23:00:00;;73.261;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 00:00:00;;73.255;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 01:00:00;;73.255;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 02:00:00;;73.255;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 03:00:00;;73.255;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 04:00:00;;73.249;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 05:00:00;;73.160;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 06:00:00;;73.512;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 07:00:00;;73.528;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 08:00:00;;73.577;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 09:00:00;;73.627;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 10:00:00;;73.726;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 11:00:00;;74.324;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 12:00:00;;74.658;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 13:00:00;;74.273;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 14:00:00;;74.246;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 15:00:00;;74.220;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 16:00:00;;74.193;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 17:00:00;;74.166;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 18:00:00;;74.139;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 19:00:00;;74.112;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 20:00:00;;74.085;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 21:00:00;;74.058;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 22:00:00;;74.031;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 23:00:00;;74.005;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-07 00:00:00;;73.955;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-07 01:00:00;;73.873;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-07 02:00:00;;73.791;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-07 03:00:00;;73.708;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-07 04:00:00;;73.626;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-07 05:00:00;;73.566;Freigegeben, provisorische Daten
