Stationsnummer: 2104
Stationsname: Weesen, Biäsche
DBLH-Nr: 00377
Gewässer: Linth
Exportperiode: 2019-01-01 - 2022-11-13
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Stundenmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-01 00:00:00;;56.600;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-01 01:00:00;;56.328;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-01 02:00:00;;56.083;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-01 03:00:00;;55.917;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-01 04:00:00;;55.807;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-01 05:00:00;;55.654;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-01 06:00:00;;55.412;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-01 07:00:00;;55.174;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-01 08:00:00;;54.924;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-01 09:00:00;;54.663;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-01 10:00:00;;54.430;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-01 11:00:00;;54.280;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-01 12:00:00;;54.113;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-01 13:00:00;;53.886;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-01 14:00:00;;53.748;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-01 15:00:00;;53.330;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-01 16:00:00;;53.203;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-01 17:00:00;;52.872;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-01 18:00:00;;52.527;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-01 19:00:00;;52.355;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-01 20:00:00;;52.066;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-01 21:00:00;;51.793;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-01 22:00:00;;51.847;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-01 23:00:00;;51.760;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-02 00:00:00;;51.549;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-02 01:00:00;;51.415;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-02 02:00:00;;51.137;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-02 03:00:00;;50.714;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-02 04:00:00;;50.410;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-02 05:00:00;;50.326;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-02 06:00:00;;50.213;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-02 07:00:00;;50.190;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-02 08:00:00;;50.178;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-02 09:00:00;;49.974;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-02 10:00:00;;49.842;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-02 11:00:00;;49.699;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-02 12:00:00;;49.569;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-02 13:00:00;;49.435;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-02 14:00:00;;49.198;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-02 15:00:00;;48.925;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-02 16:00:00;;48.669;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-02 17:00:00;;48.579;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-02 18:00:00;;48.255;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-02 19:00:00;;48.120;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-02 20:00:00;;48.389;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-02 21:00:00;;48.438;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-02 22:00:00;;48.146;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-02 23:00:00;;48.070;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-03 00:00:00;;48.038;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-03 01:00:00;;47.910;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-03 02:00:00;;47.805;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-03 03:00:00;;47.663;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-03 04:00:00;;47.447;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-03 05:00:00;;47.328;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-03 06:00:00;;47.098;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-03 07:00:00;;46.957;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-03 08:00:00;;46.874;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-03 09:00:00;;46.711;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-03 10:00:00;;46.536;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-03 11:00:00;;46.473;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-03 12:00:00;;46.346;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-03 13:00:00;;46.260;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-03 14:00:00;;46.056;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-03 15:00:00;;45.862;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-03 16:00:00;;45.692;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-03 17:00:00;;45.552;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-03 18:00:00;;45.409;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-03 19:00:00;;45.305;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-03 20:00:00;;45.327;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-03 21:00:00;;45.161;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-03 22:00:00;;44.897;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-03 23:00:00;;44.825;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-04 00:00:00;;44.681;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-04 01:00:00;;44.656;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-04 02:00:00;;44.475;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-04 03:00:00;;44.454;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-04 04:00:00;;44.233;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-04 05:00:00;;44.071;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-04 06:00:00;;43.864;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-04 07:00:00;;43.640;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-04 08:00:00;;43.528;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-04 09:00:00;;43.400;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-04 10:00:00;;43.231;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-04 11:00:00;;43.178;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-04 12:00:00;;43.028;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-04 13:00:00;;42.957;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-04 14:00:00;;42.775;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-04 15:00:00;;42.648;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-04 16:00:00;;42.411;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-04 17:00:00;;42.328;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-04 18:00:00;;42.185;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-04 19:00:00;;42.069;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-04 20:00:00;;41.957;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-04 21:00:00;;41.821;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-04 22:00:00;;41.652;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-04 23:00:00;;41.561;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-05 00:00:00;;41.398;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-05 01:00:00;;41.281;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-05 02:00:00;;41.178;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-05 03:00:00;;41.092;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-05 04:00:00;;40.979;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Abfluss;Stundenmittel;m3/s;Linth;2019-01-05 05:00:00;;40.731;Freigegeben, provisorische Daten
