 

stn;time;ets150d0;erefaod0
WAE;20120101;0.03;0.3
WAE;20120102;0.04;0.7
WAE;20120103;0.25;0.2
WAE;20120104;0.11;0.7
WAE;20120105;0.06;1.3
WAE;20120106;0.05;0.8
WAE;20120107;0.04;0.7
WAE;20120108;0.04;0.7
WAE;20120109;0.04;0.5
WAE;20120110;0.03;0.3
WAE;20120111;0.02;0.3
WAE;20120112;0.02;0.3
WAE;20120113;0.03;0.3
WAE;20120114;0.24;0.3
WAE;20120115;0.34;0.3
WAE;20120116;0.25;0.2
WAE;20120117;0.24;0.2
WAE;20120118;0.18;0.2
WAE;20120119;0.05;1.1
WAE;20120120;0.04;1.1
WAE;20120121;0.04;1.0
WAE;20120122;0.09;0.9
WAE;20120123;0.05;1.0
WAE;20120124;0.04;0.6
WAE;20120125;0.01;0.3
WAE;20120126;0.02;0.4
WAE;20120127;0.02;0.4
WAE;20120128;0.02;0.4
WAE;20120129;0.03;0.5
WAE;20120130;0.03;0.4
WAE;20120131;0.03;0.4
WAE;20120201;0.04;0.5
WAE;20120202;0.05;0.5
WAE;20120203;0.07;0.6
WAE;20120204;0.21;0.5
WAE;20120205;0.27;0.5
WAE;20120206;0.17;0.4
WAE;20120207;0.07;0.4
WAE;20120208;0.11;0.5
WAE;20120209;0.06;0.4
WAE;20120210;0.13;0.5
WAE;20120211;0.07;0.6
WAE;20120212;0.19;0.5
WAE;20120213;0.08;0.4
WAE;20120214;0.12;0.5
WAE;20120215;0.05;0.7
WAE;20120216;0.07;0.6
WAE;20120217;0.40;0.8
WAE;20120218;0.43;0.7
WAE;20120219;0.04;0.5
WAE;20120220;0.21;0.7
WAE;20120221;0.49;0.7
WAE;20120222;0.53;0.8
WAE;20120223;0.12;0.7
WAE;20120224;0.70;1.1
WAE;20120225;0.08;0.7
WAE;20120226;0.09;0.6
WAE;20120227;0.80;1.1
WAE;20120228;0.81;1.1
WAE;20120229;1.04;1.3
WAE;20120301;0.47;1.2
WAE;20120302;1.13;1.4
WAE;20120303;0.74;1.4
WAE;20120304;0.34;1.0
WAE;20120305;0.24;1.3
WAE;20120306;0.70;1.3
WAE;20120307;1.22;1.5
WAE;20120308;0.13;0.9
WAE;20120309;0.67;1.2
WAE;20120310;1.38;1.5
WAE;20120311;0.23;0.8
WAE;20120312;1.27;1.6
WAE;20120313;1.58;1.9
WAE;20120314;1.33;1.8
WAE;20120315;2.05;2.0
WAE;20120316;2.80;2.4
WAE;20120317;1.91;2.2
WAE;20120318;0.74;1.7
WAE;20120319;0.07;0.6
WAE;20120320;1.10;1.9
WAE;20120321;1.70;2.0
WAE;20120322;2.10;2.2
WAE;20120323;2.46;2.3
