DateTime,Wädenswil (20cm),Wädenswil (40cm),Wädenswil (70cm)
2019-01-01 00:00:00,3.6,2.6,3
2019-01-01 01:00:00,3.55,2.55,3
2019-01-01 02:00:00,3.6,2.55,3
2019-01-01 03:00:00,3.55,2.55,3
2019-01-01 04:00:00,3.55,2.55,3
2019-01-01 05:00:00,3.6,2.55,3
2019-01-01 06:00:00,3.6,2.65,3
2019-01-01 07:00:00,3.6,2.7,3
2019-01-01 08:00:00,3.65,2.7,3
2019-01-01 09:00:00,3.65,2.7,2.9
2019-01-01 10:00:00,3.65,2.65,2.9
2019-01-01 11:00:00,3.65,2.65,2.9
2019-01-01 12:00:00,3.7,2.6,2.9
2019-01-01 13:00:00,3.7,2.55,2.9
2019-01-01 14:00:00,3.75,2.6,2.9
2019-01-01 15:00:00,3.75,2.7,2.9
2019-01-01 16:00:00,3.75,2.7,2.9
2019-01-01 17:00:00,3.75,2.7,2.9
2019-01-01 18:00:00,3.8,2.75,2.9
2019-01-01 19:00:00,3.85,2.75,2.9
2019-01-01 20:00:00,3.85,2.7,2.9
2019-01-01 21:00:00,3.85,2.7,2.9
2019-01-01 22:00:00,3.85,2.7,2.9
2019-01-01 23:00:00,3.85,2.7,2.9
2019-01-02 00:00:00,3.85,2.7,2.9
2019-01-02 01:00:00,3.9,2.7,2.9
2019-01-02 02:00:00,3.95,2.7,2.9
2019-01-02 03:00:00,3.95,2.7,2.9
2019-01-02 04:00:00,3.95,2.7,2.9
2019-01-02 05:00:00,3.95,2.7,2.9
2019-01-02 06:00:00,3.95,2.75,2.9
2019-01-02 07:00:00,3.95,2.75,2.9
2019-01-02 08:00:00,4,2.75,2.9
2019-01-02 09:00:00,4,2.75,2.9
2019-01-02 10:00:00,4,2.75,2.9
2019-01-02 11:00:00,3.9,2.75,2.9
2019-01-02 12:00:00,3.9,2.75,2.9
2019-01-02 13:00:00,3.85,2.7,2.9
2019-01-02 14:00:00,3.85,2.7,2.9
2019-01-02 15:00:00,3.85,2.75,2.9
2019-01-02 16:00:00,3.85,2.75,2.9
2019-01-02 17:00:00,3.85,2.75,2.9
2019-01-02 18:00:00,3.85,2.75,2.9
2019-01-02 19:00:00,3.85,2.75,3
2019-01-02 20:00:00,3.85,2.7,2.9
2019-01-02 21:00:00,3.85,2.75,2.9
2019-01-02 22:00:00,3.85,2.7,2.9
2019-01-02 23:00:00,3.85,2.7,3
2019-01-03 00:00:00,3.85,2.7,2.9
2019-01-03 01:00:00,3.9,2.75,3
2019-01-03 02:00:00,3.85,2.75,2.75
2019-01-03 03:00:00,3.9,2.75,2.75
2019-01-03 04:00:00,3.85,2.75,2.45
2019-01-03 05:00:00,3.85,2.5,2.6
2019-01-03 06:00:00,3.95,2.45,2.7
2019-01-03 07:00:00,3.95,2.7,2.7
2019-01-03 08:00:00,3.95,2.7,2.7
2019-01-03 09:00:00,3.95,2.7,2.7
2019-01-03 10:00:00,4,2.7,2.7
2019-01-03 11:00:00,4,2.7,2.7
2019-01-03 12:00:00,4.15,3.15,3.1
2019-01-03 13:00:00,4.05,2.75,6.35
2019-01-03 14:00:00,4.1,2.75,3
2019-01-03 15:00:00,4.05,2.75,3
2019-01-03 16:00:00,4.1,2.75,3
2019-01-03 17:00:00,4.1,2.8,3
2019-01-03 18:00:00,4.1,2.8,3
2019-01-03 19:00:00,4.1,2.8,3
2019-01-03 20:00:00,4.1,2.8,3
2019-01-03 21:00:00,4.15,2.8,3
2019-01-03 22:00:00,4.15,2.8,3
2019-01-03 23:00:00,4.15,2.8,3
2019-01-04 00:00:00,4.15,2.85,2.75
2019-01-04 01:00:00,4.05,2.8,2.7
2019-01-04 02:00:00,4.15,2.85,2.75
2019-01-04 03:00:00,4.15,2.85,2.75
2019-01-04 04:00:00,4.15,2.85,2.75
2019-01-04 05:00:00,4.15,2.85,2.75
2019-01-04 06:00:00,4.25,2.85,2.75
2019-01-04 07:00:00,4.25,2.85,2.75
2019-01-04 08:00:00,4.25,2.85,2.75
2019-01-04 09:00:00,4.25,2.85,2.65
2019-01-04 10:00:00,4.25,2.85,2.65
2019-01-04 11:00:00,4.25,2.8,2.7
2019-01-04 12:00:00,4.35,2.8,6.2
2019-01-04 13:00:00,4.3,2.85,6.15
2019-01-04 14:00:00,4.4,2.95,3.1
2019-01-04 15:00:00,4.35,2.9,3
2019-01-04 16:00:00,4.35,2.95,3
2019-01-04 17:00:00,4.4,2.95,3
2019-01-04 18:00:00,4.35,2.9,3
2019-01-04 19:00:00,4.4,2.95,3
2019-01-04 20:00:00,4.4,2.95,3
2019-01-04 21:00:00,4.35,2.95,3
2019-01-04 22:00:00,4.4,2.95,3
2019-01-04 23:00:00,4.4,2.95,3
2019-01-05 00:00:00,4.45,3,3
2019-01-05 01:00:00,4.4,2.95,3
2019-01-05 02:00:00,4.45,2.95,3
2019-01-05 03:00:00,4.45,3,3
2019-01-05 04:00:00,4.45,3.05,3
2019-01-05 05:00:00,4.5,3,3
2019-01-05 06:00:00,4.5,3.05,3
2019-01-05 07:00:00,4.5,3,3
2019-01-05 08:00:00,4.5,3.05,3
2019-01-05 09:00:00,4.5,3.05,3
2019-01-05 10:00:00,4.5,3.05,3
2019-01-05 11:00:00,4.5,3.05,3
2019-01-05 12:00:00,4.5,3.05,3
